 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

426910,199901,0601-1200,ZTL.ARTCC,GA,,,,,,VMC,,,Night,CLR,,Center ZTL.ARTCC,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise; Initial Approach,,Class A ZID.A; Class C RDU.C,,,,,,,Medium,139,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,Flight Attendant Airline Total 9; Flight Attendant Total 9; Flight Attendant Type 75,,,,,426910,Aircraft X,,,Passenger,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Other Person,,General None Reported / Taken,,,"PAX WAS AT TIMES OUT OF CTL; VERBALLY ABUSIVE AND DISRUPTIVE TO PAX AND CREW AROUND HIM. LATER HE PHYSICALLY VIOLATED ME; THE FIRST CLASS FLT ATTENDANT; BY PUSHING A PIECE OF COOKIE INTO MY BUTT. LATER; I RESEARCHED HIS HISTORY AND FOUND OUT THAT HE HAD BEEN A PROB PREVIOUSLY ON ANOTHER CARRIER. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATES THAT THE PAX SEEMED TO BE CALMING DOWN TOWARD THE END OF THE FLT; SO SHE DID NOT ASK FOR AN AGENT TO MEET THE FLT. THE PAX BECAME ABUSIVE AGAIN DURING THE STERILE COCKPIT PHASE AND WAS VERBALLY AND PHYSICALLY RUDE AND ABUSIVE TO THE WOMAN SEATED NEXT TO HIM. THE FLT ATTENDANT MOVED THE WOMAN TO A JUMP SEAT TO GET HER AWAY FROM THE PAX. SEVERAL MALE PAX OFFERED ASSISTANCE IF THE FLT ATTENDANT REQUESTED IT. THE RPTR WAS UNABLE TO HAVE THE AGENT DETAIN THE PAX BUT HAD HER CHK THE COMPUTER AND DETERMINE THAT HE HAD BEEN TROUBLESOME ON A PREVIOUS; CONNECTING FLT. HE WAS TRYING TO INTIMIDATE THE FLC ON ANOTHER CARRIER.",,,,"FLT ATTENDANT RPT REGARDING AN ABUSIVE PAX ON BOARD A SUPER 80. HE WAS BOTH VERBALLY AND PHYSICALLY ABUSIVE TO THE FLT ATTENDANT AND OTHER PAX. AGENT DID NOT REMAIN AT THE JETWAY LONG ENOUGH FOR PAX TO BE DETAINED. IT WAS LATER LEARNED THAT HE HAD BEEN TRYING TO INTIMIDATE THE FLC ON A PREVIOUS; CONNECTING FLT WITH ANOTHER CARRIER.",
428234,199902,0601-1200,SEA.Airport,WA,,0,0,,,VMC,,,Daylight,,,,Air Carrier,DC-10 Undifferentiated or Other Model,,3,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Captain; Pilot Flying,Flight Crew Flight Engineer; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 180; Flight Crew Total 12000; Flight Crew Type 700,,,,,428234,Aircraft X,,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Engineer; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 14000; Flight Crew Type 1000,,,,,428340,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Other Person,,,,Ambiguous,"PAX STOOD AFTER PUSHBACK INITIATED. NO WAY FOR CAPT TO GUARD AGAINST THIS ACTIVITY. HOWEVER; IT EXPOSES FLC TO A VIOLATION.",,,,"DC10 HAD PAX OUT OF HIS OR HER SEAT DURING PUSHBACK.",
428745,199902,0601-1200,002.Airport,US,,,,,,,,,Daylight,,,,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant (On Duty); Check Pilot,Flight Attendant Current,Flight Attendant Airline Total 2; Flight Attendant Total 2,Boarding,,,,428745,,,Air Carrier,Passenger,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Other Person,,,Weather,Ambiguous,"PAX SAID I WAS PRETTY WHEN HE CAME ON BOARD. I THANKED HIM. THEN HE STARTED HARASSING ME; SAYING THAT HE WOULD WAIT FOR ME OUTSIDE; THAT HE WAS GOING TO MARRY ME. FLT ATTENDANT #4 FOUND HIM POURING WHISKEY FROM HIS OWN PERSONAL BOTTLES. SHE TOOK THE BOTTLES AND INFORMED THE CAPT. THE PLANE WAS MET BY THE POLICE.",,,,"DURING BOARDING ON AN MD80 A PAX COMMENTED THAT THE FLT ATTENDANT WAS 'PRETTY.' HE LATER STATED HE WAS GOING TO MARRY HER AND WOULD WAIT FOR HER OUTSIDE. FLT ATTENDANT #4 DISCOVERED HE WAS DRINKING FROM HIS OWN BOTTLES. THE CAPT WAS INFORMED AND CALLED FOR POLICE TO MEET THE ACFT.",
428747,199901,1801-2400,EWB.Airport,NJ,,,,,,VMC,,,Night,,,,,B727-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,,,3,Part 121,IFR,Passenger,,Parked; Parked,,Class A N90.A,,,,,,,Medium,150,75,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,Flight Attendant Airline Total 41.3; Flight Attendant Total 14.3; Flight Attendant Type 25,,,,,428747,Aircraft X,,,Passenger,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,,,,,,"PAX WAS CAUSING A DELAY DURING SECURITY CHK POINT. I WARNED CREW ABOUT PAX AND SAID TO KEEP AN EYE ON HIM. PAX WAS TRAVELING WITH ANOTHER MALE PAX. PAX SLEPT MOST OF THE FLT. I WAS SITTING IN COCKPIT WHEN FLT ATTENDANT #2 CAME IN AND SAID HOW PAX WAS VERBALLY ABUSIVE (CALLING HER NAMES AND USING 4 LETTER WORDS) AND LOUD! I WENT UP TO THE PAX AND TOLD HIM TO CALM DOWN OR WE WOULD HAVE SECURITY MEET THE FLT. HE DID NOT CARE AND HE WANTED THE #2 FLT ATTENDANT'S NAME. THE FE CAME TO THE BACK AND ALSO TRIED TO TALK TO THE PAX (THE PAX USED THE SAME LANGUAGE WITH THE FE). FE SAID 'SIR; CALM DOWN OR SECURITY WILL BE WAITING.' PAX DIDN'T CARE. FE WAS ORDERING HIM TO GO BACK TO HIS SEAT; PAX WENT BACK. AS THE PLANE WAS ON FINAL; THE PAX GOT OUT OF HIS SEAT AND CAME BACK TO OUR JUMP SEAT (#2 AND #4). THE PAX WALKS WITH A CANE. I TOLD THE PAX TO GO BACK TO HIS SEAT AND HE SAID HE WANTED TO SEE THE GUYS NOW! I TOLD HIM THE GUYS WERE BUSY AND WE ARE ABOUT TO LAND; GO SIT DOWN! WE LANDED AND SECURITY MET THE FLT AND ARRESTED PAX. JUST A LITTLE NOTE: I TALKED TO THE PAX FRIEND AND ASKED HIM TO PLEASE TALK WITH HIS FRIEND AND HE SAID 'OH WHAT HAS HE DONE NOW' (NO HELP FROM HIS FRIEND).",,,,"FLT ATTENDANT RPT REGARDING A PAX ON BOARD A B727 WHO CAUSED A DELAY AT SECURITY CHK POINT; THEN BECAME VERY DISRUPTIVE DURING THE FLT. SECURITY WAS CALLED AND PAX WAS ARRESTED AT DEST ARPT.",
428907,199902,1801-2400,SFO.Airport,CA,,0,0,,,,,,Night,,,,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,Boarding,,,,428907,Aircraft X,,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP),,,,,,429020,Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Crew,,General None Reported / Taken,Human Factors,Human Factors,"WHILE BOARDING; THE FIRST FLT ATTENDANT ADVISED ME THAT THE PAX IN SEAT XX HAD A STRONG ODOR OF ALCOHOL ABOUT HIM AND HAD REQUESTED A DRINK. I DIRECTED FLT ATTENDANT NOT TO SERVE HIM ANY ALCOHOL BEVERAGES. A FEW MOMENTS LATER; THE PAX APPEARED IN THE COCKPIT DOOR TO TAKE EXCEPTION TO MY DECISION. AS SOON AS HE STARTED TALKING; I COULD SMELL THE ODOR OF ALCOHOL ON HIS BREATH. I EXPLAINED THE FARS ABOUT ALCOHOL AND INTOXICATION TO HIM; HOWEVER; HE CONTINUED TO BE ARGUMENTATIVE. I EXPLAINED THAT WE WERE VERY BUSY ABOUT 5 MINS BEFORE DEP; AND ASKED HIM TO TAKE HIS SEAT. HE REFUSED AND QUESTIONED MY AUTH TO DENY HIM HIS FREE DRINKS. AT THIS TIME I LEFT COCKPIT AND WENT UP THE JET BRIDGE TO HAVE THE AGENT CALL SECURITY AND HAVE THE PAX REMOVED FROM THE ACFT. THE PAX FOLLOWED ME UP THE JET BRIDGE AND WE WENT THROUGH THE WHOLE DISCUSSION AGAIN AT THE AGENT DESK. I THEN RETURNED TO THE COCKPIT TO PREPARE FOR DEP. THE PAX REBOARDED THE ACFT; TOOK HIS SEAT AND REFUSED TO DEPLANE. WHILE WE WERE WAITING FOR SECURITY TO SHOW UP; THE PAX HAD A CHANGE OF HEART AND CAME FORWARD TO APOLOGIZE. HE EXPLAINED THAT HE HAD BEEN TRAVELING 17 HRS; WAS TIRED; AND HAVING A BAD DAY. HE ASSURED ME THAT HE COULD BEHAVE FOR THE FLT TO ORD AND INTENDED TO SLEEP THE WAY. I DECIDED TO ALLOW HIM TO COME ALONG BECAUSE HE SEEMED SINCERE. HOWEVER; IN RETROSPECT; I SHOULD HAVE LEFT HIM AT SFO. FOR THE FIRST HALF OF THE FLT HE WAS LOUD; OBNOXIOUS AND VERBALLY ABUSIVE; USING PROFANE LANGUAGE. SUPPLEMENTAL INFO FROM ACN 429020: JUST BEFORE SECURITY CAME; THE PAX CAME BACK TO THE COCKPIT AND SAID HE WOULD BEHAVE. THE CAPT DECIDED TO LET HIM STAY ON. ONCE IN THE AIR; THE PAX DID NOT DRINK; BUT MADE ALMOST CONTINUAL DEMANDS ON THE FLT ATTENDANT FOR MOST OF THE TRIP TO CHICAGO.",,,,"THE CREW OF AN ACR MD80 ALLOWED AN INTOXICATED AND ABUSIVE PAX TO REMAIN ON BOARD AND LATER REGRETTED THAT DECISION.",
429130,199902,1801-2400,ZBW.ARTCC,NH,,,,,,,Turbulence,,Night,,,Center ZBW.ARTCC,Air Carrier,A300,,3,Part 121,IFR,Passenger,FMS Or FMC,Climb,,Class A ZBW.A,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,Flight Attendant Airline Total 7; Flight Attendant Total 7; Flight Attendant Type 98,,,,,42913,Aircraft X,,,Passenger,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Other Person,,,Weather,Ambiguous,"ENRTE TO PARIS; A FEMALE PAX SUMMONED MY ASSISTANCE (MRS X). SEATED NEARBY WAS HER CHILD. APPARENTLY; THE MALE PAX SEATED BEHIND HER WAS PREVENTING HER FROM RECLINING HER SEAT BY PUSHING IT FORWARD. I EXPLAINED TO THE MALE PAX; MR Y; THAT MRS X HAD EVERY RIGHT TO HAVE HER SEAT RECLINED. FURTHERMORE; THAT THE ALLOTTED SPACE WAS PRE-ESTABLISHED AND THAT WE COULD NOT POSSIBLY ACCOMMODATE HIM ANY FURTHER; DUE TO THE FULL CAPACITY OF THE AIRPLANE. AND; THAT I WOULD SUGGEST TO MRS X TO HAVE HER SEAT UPRIGHT DURING THE MEAL SVC; SO THAT HE WOULDN'T BE INCONVENIENCED ANY FURTHER. WELL; MR Y BECAME VERY IRATE; VERBALLY ABUSIVE AND MOTIONED WITH HIS BODY LANGUAGE THAT HE WANTED TO STRIKE ME. IN TURN; I RESPONDED FIRMLY AND ADVISED MR Y THAT HIS BEHAVIOR WAS UNACCEPTABLE ON THE AIRPLANE. THEN; I IMMEDIATELY NOTIFIED THE PURSER OF THE INCIDENT; AS WELL AS THE CAPT. THE CAPT SWIFTLY RESPONDED THAT HE WOULD IMMEDIATELY TURN THE AIRPLANE BACK TO BOSTON AND HAVE HIM ARRESTED; IF MR Y'S BEHAVIOR WOULD NOT IMPROVE. THE PURSER DELIVERED THE MESSAGE TO MR Y. APPARENTLY HE TRIED TO CTL HIS EMOTIONS AND REMAINED IN HIS SEAT WITHOUT FURTHER OUTBURSTS. ON MY PART; I SWITCHED SIDES WITH ANOTHER FLT ATTENDANT AND STAYED CLR OF THIS INDIVIDUAL. LATER; INFLT; MRS X THANKED ME FOR MY EFFORTS AND APPRECIATED MY ATTEMPTS FOR TRYING TO REASON WITH MR Y.",,,,"A FLT ATTENDANT ON AN AIRBUS 300 FROM BOSTON TO PARIS HAS A PAX WHO BECOMES VERY VERBALLY ABUSIVE AND APPEARS READY TO STRIKE THE FLT ATTENDANT. ALL THIS BECAUSE THE PAX IN FRONT IS TRYING TO RECLINE HER SEAT. THE FLT ATTENDANT NOTIFIES THE PURSER AND THE CAPT WHO INDICATES THAT HE WILL TURN THE ACFT BACK TO BOSTON IF THE PAX DOES NOT BEHAVE. PAX CALMS DOWN.",
429334,199902,1801-2400,ZAB.ARTCC,NM,,,,,,,,,Night,,,Center ZAB.ARTCC,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZAB.A,,,,,,,Medium,139,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,Flight Attendant Airline Total 12.5; Flight Attendant Total 12.5; Flight Attendant Type 70,Service,,,,429334,Aircraft X,,,Passenger,,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Other Person,,General None Reported / Taken,,,"PROB: PAX REFUSED TO KEEP HER DOGS IN THEIR CARRIER. COMPANY RULES STATE: 'ONLY 1 PET/CARRIER PER CUSTOMER.' SHE HAD 2. 'PETS MUST REMAIN UNDERNEATH THE SEAT IN KENNEL AT ALL TIMES WHILE ON BOARD THE ACFT.' MS X WAS ASKED MANY TIME (3 TIMES BY MYSELF PERSONALLY) TO PUT THE DOGS BACK IN THEIR CARRIERS BUT SHE REFUSED. SHE TOLD ME 'I KNOW THE RULES.' THE PAX NEXT TO HER HAD TO EAT WITH THOSE DOGS ON HER LAP THE WHOLE FLT. SHE SHOULD NOT BE ALLOWED TO BRING HER DOGS ON BOARD IF SHE CANNOT FOLLOW THE RULES. THE FIRST CLASS FLT ATTENDANT ASKED HER TO PUT THE DOGS UP -- BUT DID NOT FORCE THE ISSUE TO AVOID CONFLICT (I ASSUME). I THINK THAT THERE ARE HEALTH AND SAFETY ISSUES INVOLVED. MANY PEOPLE HAVE SEVERE ALLERGIES. FOOD SVC WITH THOSE DOGS; WHAT IF ONE OF THE DOGS HAD BITTEN SOMEONE?",,,,"FLT ATTENDANT RPT REGARDING A PAX ABOARD THE S80 WHO REFUSED TO KEEP HER DOGS IN THEIR CARRIERS. SHE WAS ASKED SEVERAL TIMES TO RETURN THEM TO THE CARRIERS BUT WOULD NOT.",
429431,199902,0601-1200,ZKC.ARTCC,KS,,,,,,,,,,,,Center ZKC.ARTCC,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZKC.A,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,Flight Attendant Total 0.25,,,,,429431,Aircraft X,,Air Carrier,Flight Attendant In Charge; Flight Attendant (On Duty),Flight Attendant Current,,,,,,,Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Other Person,,General None Reported / Taken,,,"MY CONTACT WITH PAX WAS LIMITED; ALTHOUGH I WITNESSED HIM CONFRONTING FLT ATTENDANT #1. MY EXPERIENCE WITH MR X WAS DURING THE BEVERAGE SVC WHEN HE CAME BACK TO ME AND THE OTHER FLT ATTENDANTS WORKING IN MAIN CABIN. HE COMMENTED ON OUR SVC IN A NEGATIVE MANNER. HIS COMMENT WAS 'OUR SVC SUCKED!' THE NEXT INCIDENT WAS WITH FLT ATTENDANT #1 IN THE FIRST CLASS GALLEY. HE WAS EXPRESSING HIS OPINION OF COMPANY AND WAS BADGERING THE FLT ATTENDANT TO ADMIT COMPANY WAS &*(%. THE FLT ATTENDANT WAS TRYING TO DISCOVER WHAT MR X WAS ANGRY ABOUT; BUT HE WOULD NOT DISCLOSE ANY INFO ABOUT THE PROB. HE CONTINUED TRYING TO INTIMIDATE THE FLT ATTENDANT TO ADMIT COMPANY WAS &*(%. SEVERAL OF THE FIRST CLASS PAX ATTEMPTED TO INTERFERE AND DEFEND THE FLT ATTENDANTS BY TELLING HIM THERE WAS NO REASON FOR HIS LANGUAGE AND BEHAVIOR. THEY WERE TOLD TO MIND THEIR OWN BUSINESS. HE ALSO WAS ANTAGONISTIC TOWARDS FIRST CLASS PAX NEEDING TO USE THE LAVATORY. HE WAVED THEM ON TO THE LAVATORY WITH COMMENTS LIKE -- THEY COULD USE THE LAVATORY BEFORE HIM BECAUSE THEY WERE FIRST CLASS AND HE WASN'T. THE FLT ATTENDANT #1 FINALLY CALMED HIM ENOUGH TO RETURN TO HIS SEAT BY TELLING HIM THE PROB WOULD BE RESOLVED ON THE GND. HE DID RETURN TO HIS SEAT; HOWEVER; SIGNALED THE FLT ATTENDANTS; WITH THE CALL BUTTON SEVERAL TIMES DURING THE REMAINDER OF THE FLT; THAT HE WISHED TO SPEAK WITH #1 FLT ATTENDANT. WHEN SHE WENT TO HIS SEAT; SHE WAS TOLD HE DIDN'T WANT TO TALK WITH HER. SHE AGAIN TOLD HIM THE PROB WOULD BE RESOLVED ON THE GND. HE EVENTUALLY FELL ASLEEP. NO ALCOHOL WAS SERVED DURING THE COURSE OF FLT; HOWEVER; HE DID ORDER 4 SOFT DRINKS LEADING US TO BELIEVE HE MAY HAVE BEEN MIXING HIS OWN ALCOHOL. NO MISCONDUCT FORM WAS GIVEN TO MR X BECAUSE WE FELT HE WOULD NOT REACT RATIONALLY AND CREATE BEHAVIOR WHICH WE MIGHT NOT HAVE BEEN ABLE TO CTL. I FEEL THE SIT WAS HANDLED IN THE BEST MANNER POSSIBLE CONSIDERING THE STATE OF MIND THE PAX WAS IN.",,,,"FLT ATTENDANT RPT REGARDING AN S80 FLT ON WHICH A PAX BECAME CONFRONTATIONAL AND INTIMIDATING TO THE FLT ATTENDANTS; VERBALLY CHALLENGING THEM ABOUT THE SVC. HE ENTERED FIRST CLASS AREA AND WAS OBNOXIOUS TO THE FIRST CLASS PAX AS WELL.",
